n1,n2,n3,n4,n5,l
5.472688078880310059e-01,1.141955554485321045e-01,-3.288663864135742188e+00,5.633045434951782227e-01,3.364842385053634644e-02,london
2.353169023990631104e-01,-1.135163828730583191e-01,-1.637065887451171875e+00,4.028515517711639404e-01,-2.020321488380432129e-01,america
6.340963244438171387e-01,5.154613852500915527e-01,-2.720974445343017578e+00,4.079310297966003418e-01,-3.724840283393859863e-01,north
3.371933400630950928e-01,-6.740960478782653809e-02,-2.883789777755737305e+00,3.718148171901702881e-01,8.271602988243103027e-01,minute
2.960744500160217285e-01,7.038815617561340332e-01,-2.124323129653930664e+00,6.073968410491943359e-01,1.070360243320465088e-01,sydney
4.474697411060333252e-01,-3.328227400779724121e-01,-2.409336328506469727e+00,4.605832993984222412e-01,6.775228977203369141e-01,prisoner
6.073333024978637695e-01,7.462409138679504395e-01,-2.445132017135620117e+00,7.077447772026062012e-01,-3.250360488891601562e-01,shares
1.919818967580795288e-01,-1.386877596378326416e-01,-1.964931845664978027e+00,9.548886418342590332e-01,2.451149821281433105e-01,developer
5.083224177360534668e-01,-4.603440761566162109e-01,-1.854594588279724121e+00,4.022091031074523926e-01,3.776594102382659912e-01,azkaban
2.446804791688919067e-01,4.249360263347625732e-01,-2.306569337844848633e+00,1.041907787322998047e+00,-4.025914371013641357e-01,pedals
4.571577012538909912e-01,1.197149395942687988e+00,-2.793697595596313477e+00,5.301789641380310059e-01,2.488678544759750366e-01,cambridge
4.840471148490905762e-01,-1.029110103845596313e-01,-1.071308970451354980e+00,3.151871263980865479e-01,3.039195835590362549e-01,cutting
2.694286704063415527e-01,-2.615427076816558838e-01,-1.436440587043762207e+00,7.692061662673950195e-01,1.408833563327789307e-01,healthy
5.541507005691528320e-01,-1.920586526393890381e-01,-1.771119832992553711e+00,1.148333996534347534e-01,-5.793353915214538574e-01,finding
5.196238756179809570e-01,-4.709530770778656006e-01,-1.576786041259765625e+00,-8.554156869649887085e-03,2.404094673693180084e-03,station
3.978708386421203613e-01,5.625864863395690918e-01,-2.046170711517333984e+00,1.134598731994628906e+00,1.181667074561119080e-01,suspend
5.322411283850669861e-02,5.170413255691528320e-01,-2.470098018646240234e+00,1.943181306123733521e-01,-7.982016205787658691e-01,headquarters
